uci,index
g7g2,1336
g4g6,1337
f3f8,1338
e3h3,1339
h3h5,1340
c4a6,1341
a3c5,1342
b2b8,1343
a3f8,1344
c5f8,1345
h6g4,1346
g4e5,1347
f2e1,1348
a6c4,1349
d8g8,1350
g8g1,1351
f8f2,1352
g6b6,1353
g3g8,1354
f3d5,1355
d5g8,1356
c6c3,1357
e2c1,1358
h2b8,1359
b8d6,1360
e3g3,1361
c6c4,1362
e5g7,1363
b5b3,1364
d5b5,1365
e7h4,1366
b6d5,1367
e8a4,1368
h5f4,1369
f6c3,1370
d2b1,1371
a3e7,1372
c2h2,1373
h1b1,1374
f5f7,1375
f1h1,1376
f5f1,1377
b3a5,1378
h2f1,1379
b2c2,1380
d7d3,1381
e3a3,1382
e3e8,1383
e2h2,1384
e2g2,1385
d2d7,1386
g8a8,1387
d3d5,1388
c5a4,1389
a7a8r,1390
f7d7,1391
d7f7,1392
d3d1,1393
a2c1,1394
b4a3,1395
c5c3,1396
b3a1,1397
a1b3,1398
g5g2,1399
d3b1,1400
b2h8,1401
c8e7,1402
c8a7,1403
a7c6,1404
e8f6,1405
d4b2,1406
e3e5,1407
g3h5,1408
f7a7,1409
e5e1,1410
b6f2,1411
c5c7,1412
a3d3,1413
e4e8,1414
e8e3,1415
g8g5,1416
a7d4,1417
c4b6,1418
h7f8,1419
c5b5,1420
f5h5,1421
d4b4,1422
e5b5,1423
c3f6,1424
c3g7,1425
g8d8,1426
f1a1,1427
g3g6,1428
g8c8,1429
b5e5,1430
f6f3,1431
b2a1,1432
f5d5,1433
g2c2,1434
d5d3,1435
d3b3,1436
e1b4,1437
d2a5,1438
c2g2,1439
h8h3,1440
e3g2,1441
g2h4,1442
b5a3,1443
f3g1,1444
h4d8,1445
e5h2,1446
h7d7,1447
f7f2,1448
f2f7,1449
f2f8,1450
e6b3,1451
g2g1,1452
g7c3,1453
f2f6,1454
g3g1,1455
c1h6,1456
h6f8,1457
b5a5,1458
a4h4,1459
a4e4,1460
e5h5,1461
f7h6,1462
e7e2,1463
e7e3,1464
a3a1,1465
a1e5,1466
d5f5,1467
f5f8,1468
b3f3,1469
b3b5,1470
f3b3,1471
g1c1,1472
d6f4,1473
c6f6,1474
d8b7,1475
b2b1q,1476
h8h2,1477
c3f3,1478
h3h1,1479
g2g1q,1480
e1h4,1481
d3d8,1482
f4d4,1483
b1f1,1484
g3b3,1485
c3c5,1486
b5h5,1487
c8a8,1488
d8h8,1489
f6g8,1490
c6a8,1491
c5c2,1492
a3b1,1493
g7c7,1494
f4c7,1495
b6g6,1496
h1e4,1497
b4f8,1498
h8e5,1499
c1b3,1500
c7a5,1501
d4g7,1502
e6g7,1503
c2a4,1504
c5c1,1505
e4e2,1506
b2e2,1507
c7a7,1508
a3c3,1509
b8b3,1510
a5e5,1511
d7g7,1512
g8g3,1513
g2b2,1514
c8g8,1515
g2h1r,1516
d1h1,1517
c5a5,1518
f2b2,1519
f2h2,1520
h2f2,1521
g2e3,1522
a1a6,1523
f7g5,1524
g2d2,1525
f2f5,1526
h2c2,1527
d4b6,1528
e4b4,1529
a1a3,1530
h5h3,1531
a5g5,1532
g5a5,1533
g5d5,1534
g1d1,1535
a7e7,1536
b4b2,1537
b2b5,1538
b1b3,1539
h1h7,1540
c1h1,1541
b7g7,1542
g7g3,1543
d3a3,1544
g3g5,1545
h3c8,1546
b6g1,1547
g1d4,1548
h3b3,1549
c3a3,1550
a8a2,1551
g5h5,1552
g7h7,1553
d7c8r,1554
h2f3,1555
a6e6,1556
h7h8q,1557
f7f8q,1558
f4e2,1559
d8e6,1560
h5d5,1561
f5f3,1562
c7g7,1563
g5g7,1564
a1f6,1565
f6f1,1566
c3a1,1567
a1b2,1568
g2e1,1569
h6h1,1570
f5c5,1571
d8f7,1572
c2a1,1573
b2f2,1574
f2a2,1575
d5h5,1576
g4h6,1577
g7f8b,1578
g7f8r,1579
c7g3,1580
e4e1,1581
c2a2,1582
c7e8,1583
d4g1,1584
g7d7,1585
f5a5,1586
g6g3,1587
a4d4,1588
f6h8,1589
h8f6,1590
e6h3,1591
a5f5,1592
g7e8,1593
e7e8r,1594
e7e8b,1595
e7e8n,1596
d4d8,1597
h7d3,1598
g1c5,1599
g1e3,1600
g8d5,1601
a6d6,1602
h3h7,1603
g3c7,1604
d6b5,1605
b1a2,1606
e8g7,1607
d4h8,1608
c3h8,1609
f6f4,1610
e4g4,1611
b5b8,1612
g2f4,1613
d4a7,1614
b8h2,1615
h3g1,1616
g5g1,1617
c4c7,1618
a4a8,1619
h7f5,1620
h5e8,1621
c4a4,1622
c7c8q,1623
c7c8r,1624
c4c8,1625
f5g7,1626
g7g8b,1627
d6h2,1628
e4e6,1629
h7h3,1630
c3e3,1631
c3h3,1632
f2d2,1633
g7h5,1634
b2g7,1635
h5b5,1636
h6c1,1637
b3b1,1638
b1g1,1639
h2h6,1640
f6a1,1641
h7e4,1642
c7b5,1643
h4h1,1644
g4g1,1645
c7c3,1646
f7d8,1647
a5a7,1648
g3h1,1649
h1f2,1650
g6e6,1651
g7g8n,1652
h6g8,1653
g1g7,1654
g7a7,1655
g7g8r,1656
g2a8,1657
g2e2,1658
b7e7,1659
h5h2,1660
c3a2,1661
g4d4,1662
d3b4,1663
g3e1,1664
h2b2,1665
g7b7,1666
b7h7,1667
b4e4,1668
e7g8,1669
a2f7,1670
b4b1,1671
b4a6,1672
g6a6,1673
g1b1,1674
g2a2,1675
b1h1,1676
g1a1,1677
a1h1,1678
h2h8,1679
d3h3,1680
d1e3,1681
b1b5,1682
e5h8,1683
e5a1,1684
e4a8,1685
g7g4,1686
f6f8,1687
h3h6,1688
a6g6,1689
a1h8,1690
h8c3,1691
e4h1,1692
d5a2,1693
h4c4,1694
b5a7,1695
h2h7,1696
c7c8b,1697
c7c8n,1698
a5a2,1699
e1f3,1700
a6e2,1701
g7f5,1702
d6c8,1703
c7d8n,1704
c7d8b,1705
h1d5,1706
h4g2,1707
a1d4,1708
f5h7,1709
f7f8r,1710
a4g4,1711
g2b7,1712
d5h1,1713
g5b5,1714
f2h3,1715
g8e6,1716
g4g8,1717
g6g4,1718
e6g8,1719
h7b7,1720
h4a4,1721
d3c5,1722
f7a2,1723
h6b6,1724
h5c5,1725
h7f6,1726
g4e4,1727
g2g5,1728
g2g8,1729
d7d8q,1730
a2g2,1731
b2g2,1732
h4h8,1733
h2e2,1734
e3d1,1735
f2c5,1736
d4a1,1737
h8f7,1738
b7d8,1739
